Hingoli,SPI3,SPI6
1/1/1901,-99,-99
2/1/1901,-99,-99
3/1/1901,2.03,-99
4/1/1901,1.91,-99
5/1/1901,2.19,-99
6/1/1901,0.64,1.33
7/1/1901,0.44,0.96
8/1/1901,0.8,1.2
9/1/1901,0.01,0.19
10/1/1901,0.16,0.29
11/1/1901,-0.51,0.17
12/1/1901,0.57,0.14
1/1/1902,-1.37,-0.04
2/1/1902,-1.22,-0.69
3/1/1902,-1.32,0.31
4/1/1902,-0.42,-1.45
5/1/1902,-1.04,-1.67
6/1/1902,-1.7,-2.07
7/1/1902,-1.35,-1.45
8/1/1902,-1.51,-1.64
9/1/1902,-0.84,-1.39
10/1/1902,-0.58,-1.16
11/1/1902,0.25,-0.87
12/1/1902,1.18,-0.24
1/1/1903,1.57,-0.08
2/1/1903,1.35,0.44
3/1/1903,-0.53,1.04
4/1/1903,-1.32,1.23
5/1/1903,0.87,1.42
6/1/1903,0.72,0.53
7/1/1903,1.61,1.38
8/1/1903,1.81,1.84
9/1/1903,1.45,1.56
10/1/1903,1.19,1.67
11/1/1903,0.44,1.49
12/1/1903,0.91,1.54
1/1/1904,0.33,1.17
2/1/1904,0.77,0.49
3/1/1904,0.27,0.87
4/1/1904,0.09,0.05
5/1/1904,0.02,0.39
6/1/1904,-0.52,-0.54
7/1/1904,-1.02,-1.03
8/1/1904,-1.94,-1.89
9/1/1904,-0.07,-0.29
10/1/1904,0.56,-0.04
11/1/1904,1.28,-0.12
12/1/1904,0.33,-0.03
1/1/1905,-1.65,0.36
2/1/1905,-0.91,1.19
3/1/1905,-1.1,0.06
4/1/1905,-0.52,-1.6
5/1/1905,-0.75,-1.3
6/1/1905,-1.33,-1.66
7/1/1905,-1.99,-2.08
8/1/1905,-1.21,-1.32
9/1/1905,-0.03,-0.48
10/1/1905,0.26,-0.67
11/1/1905,0.19,-0.75
12/1/1905,-1.47,-0.44
1/1/1906,-0.46,0.1
2/1/1906,-0.26,0.09
3/1/1906,-0.35,-1.65
4/1/1906,-2.3,-1.57
5/1/1906,-2.94,-1.92
6/1/1906,0.65,0.48
7/1/1906,1.2,0.96
8/1/1906,0.75,0.53
9/1/1906,-0.38,-0.16
10/1/1906,-1.43,-0.34
11/1/1906,-1.52,-0.35
12/1/1906,-0.71,-0.64
1/1/1907,0.21,-1.48
2/1/1907,0.71,-1.39
3/1/1907,-0.16,-0.89
4/1/1907,1.08,0.6
5/1/1907,0.49,0.64
6/1/1907,-0.05,-0.2
7/1/1907,-0.37,-0.11
8/1/1907,-0.31,-0.25
9/1/1907,-1.18,-1.16
10/1/1907,-1.86,-1.58
11/1/1907,-2.6,-1.6
12/1/1907,-1.71,-1.57
1/1/1908,-0.49,-2.08
2/1/1908,-0.65,-2.8
3/1/1908,-0.02,-1.63
4/1/1908,0.03,-0.67
5/1/1908,-0.62,-1.07
6/1/1908,-0.27,-0.38
7/1/1908,-0.29,-0.35
8/1/1908,0.24,0.12
9/1/1908,0.8,0.63
10/1/1908,0.63,0.32
11/1/1908,0.32,0.3
12/1/1908,-3.03,0.3
1/1/1909,-1.22,0.44
2/1/1909,-0.94,0.19
3/1/1909,0.05,-2.03
4/1/1909,0.41,-0.58
5/1/1909,0.55,-0.08
6/1/1909,0.55,0.45
7/1/1909,0.65,0.63
8/1/1909,0.26,0.3
9/1/1909,-0.06,0.09
10/1/1909,-0.69,-0.22
11/1/1909,-0.65,-0.33
12/1/1909,-0.8,-0.36
1/1/1910,0.31,-0.72
2/1/1910,0.72,-0.58
3/1/1910,-1.48,-1.25
4/1/1910,-1.71,-0.47
5/1/1910,-1.44,-0.33
6/1/1910,1.6,1.37
7/1/1910,0.58,0.35
8/1/1910,0.68,0.5
9/1/1910,1.14,1.59
10/1/1910,1.67,1.59
11/1/1910,1.86,1.83
12/1/1910,0.99,1.31
1/1/1911,1.09,1.84
2/1/1911,-0.8,1.79
3/1/1911,-0.98,0.8
4/1/1911,-3.74,0.56
5/1/1911,-1.58,-1.95
6/1/1911,-1.02,-1.33
7/1/1911,-0.72,-0.94
8/1/1911,-0.57,-0.76
9/1/1911,-0.86,-1.22
10/1/1911,-1.29,-1.4
11/1/1911,-1.39,-1.36
12/1/1911,-1.19,-1.19
1/1/1912,0.04,-1.39
2/1/1912,0.17,-1.43
3/1/1912,0.13,-1.18
4/1/1912,0.38,-0.04
5/1/1912,-0.09,-0.16
6/1/1912,-1.84,-1.83
7/1/1912,-0.54,-0.5
8/1/1912,-0.26,-0.3
9/1/1912,-0.42,-1
10/1/1912,-1.09,-1.15
11/1/1912,-1.57,-1.2
12/1/1912,-0.8,-0.7
1/1/1913,-0.08,-1.22
2/1/1913,-0.26,-1.7
3/1/1913,-0.37,-1.05
4/1/1913,-0.26,-0.55
5/1/1913,0.49,0.06
6/1/1913,0.15,-0.04
7/1/1913,1,0.86
8/1/1913,0.11,0.15
9/1/1913,-0.65,-0.6
10/1/1913,-1.76,-0.65
11/1/1913,-1.55,-0.89
12/1/1913,-0.48,-0.83
1/1/1914,-0.27,-1.94
2/1/1914,0.75,-1.4
3/1/1914,0.72,-0.32
4/1/1914,0.59,-0.09
5/1/1914,-0.23,0.22
6/1/1914,1.27,1.34
7/1/1914,1.11,1.11
8/1/1914,0.6,0.52
9/1/1914,0.82,1.17
10/1/1914,0.5,0.89
11/1/1914,0.89,0.97
12/1/1914,0.17,0.7
1/1/1915,1.42,0.83
2/1/1915,1.63,1.12
3/1/1915,2.19,0.92
4/1/1915,1.76,2.04
5/1/1915,1.73,2.2
6/1/1915,0.49,1.3
7/1/1915,-0.84,-0.2
8/1/1915,-0.9,-0.46
9/1/1915,0.13,0.24
10/1/1915,1.17,0.58
11/1/1915,1.45,0.58
12/1/1915,1.06,0.48
1/1/1916,-0.13,1.08
2/1/1916,-0.1,1.41
3/1/1916,-0.87,0.89
4/1/1916,-1,-0.93
5/1/1916,-0.33,-0.52
6/1/1916,0.35,0.1
7/1/1916,1.06,0.85
8/1/1916,0.4,0.31
9/1/1916,0.58,0.61
10/1/1916,0.51,0.87
11/1/1916,1.03,0.95
12/1/1916,1.07,0.86
1/1/1917,0.54,0.54
2/1/1917,0.61,1.05
3/1/1917,1.09,1.23
4/1/1917,1.08,0.84
5/1/1917,0.95,0.91
6/1/1917,0.61,0.84
7/1/1917,0.57,0.74
8/1/1917,0.61,0.72
9/1/1917,1.14,1.23
10/1/1917,1.2,1.19
11/1/1917,1.05,1.1
12/1/1917,0.24,1.02
1/1/1918,-0.33,1.09
2/1/1918,-1.12,0.95
3/1/1918,-1.16,-0.05
4/1/1918,-1.4,-1.27
5/1/1918,1.06,0.39
6/1/1918,0.61,0.35
7/1/1918,-0.39,-0.6
8/1/1918,-1.4,-1.12
9/1/1918,-2.03,-1.55
10/1/1918,-2.06,-1.72
11/1/1918,-1.46,-2.04
12/1/1918,-0.07,-1.91
1/1/1919,1.22,-1.55
2/1/1919,1.56,-0.97
3/1/1919,0.11,-0.19
4/1/1919,-0.74,0.83
5/1/1919,-0.26,1.03
6/1/1919,0.17,0.09
7/1/1919,-0.37,-0.54
8/1/1919,-0.75,-0.79
9/1/1919,0.05,0.05
10/1/1919,0.29,0.01
11/1/1919,0.72,-0.01
12/1/1919,-0.1,-0.08
1/1/1920,0.54,0.32
2/1/1920,0.44,0.71
3/1/1920,0.44,-0.11
4/1/1920,-0.78,-0.05
5/1/1920,-1.41,-0.65
6/1/1920,-0.67,-0.61
7/1/1920,-1.86,-1.99
8/1/1920,-1.77,-1.93
9/1/1920,-2.07,-2.2
10/1/1920,-1.76,-2.35
11/1/1920,-1.67,-2.44
12/1/1920,-2.57,-2.49
1/1/1921,-0.89,-2.03
2/1/1921,-0.71,-1.86
3/1/1921,-0.87,-2.74
4/1/1921,-0.87,-1.63
5/1/1921,-1.73,-1.99
6/1/1921,1.09,0.88
7/1/1921,0.32,0.13
8/1/1921,-0.09,-0.28
9/1/1921,-1.1,-0.56
10/1/1921,-0.98,-0.6
11/1/1921,-0.72,-0.62
12/1/1921,-0.58,-1.28
1/1/1922,0.43,-0.97
2/1/1922,0.81,-0.62
3/1/1922,0.85,-0.34
4/1/1922,-0.53,-0.1
5/1/1922,-1.21,-0.15
6/1/1922,0.9,1.02
7/1/1922,-0.09,-0.23
8/1/1922,-1.09,-1.24
9/1/1922,-0.78,-0.39
10/1/1922,-0.35,-0.37
11/1/1922,0.78,-0.16
12/1/1922,0.43,-0.6
1/1/1923,0.74,-0.25
2/1/1923,-1.25,0.66
3/1/1923,0.97,0.58
4/1/1923,1.12,1.04
5/1/1923,0.84,0.17
6/1/1923,-2.64,-1.93
7/1/1923,-0.05,0.19
8/1/1923,-0.6,-0.45
9/1/1923,0.83,0.16
10/1/1923,-0.11,-0.17
11/1/1923,0.39,-0.2
12/1/1923,-3.03,0.33
1/1/1924,-1.13,-0.33
2/1/1924,-0.97,0.26
3/1/1924,0.28,-1.8
4/1/1924,0.41,-0.57
5/1/1924,-0.06,-0.67
6/1/1924,-2.79,-2.57
7/1/1924,-1.46,-1.34
8/1/1924,-0.91,-0.92
9/1/1924,-0.06,-0.79
10/1/1924,0.17,-0.55
11/1/1924,0.23,-0.52
12/1/1924,0.92,0.25
1/1/1925,0.92,0.32
2/1/1925,1.21,0.39
3/1/1925,-2.06,0.69
4/1/1925,-3.58,0.32
5/1/1925,0.26,0.93
6/1/1925,0.73,0.46
7/1/1925,-0.31,-0.54
8/1/1925,-0.59,-0.56
9/1/1925,-1.54,-1.1
10/1/1925,-1.11,-1.05
11/1/1925,-0.86,-1.08
12/1/1925,0.08,-1.42
1/1/1926,1.19,-0.76
2/1/1926,1.17,-0.63
3/1/1926,1.18,0.35
4/1/1926,-0.92,0.76
5/1/1926,0.41,0.98
6/1/1926,-1.53,-0.96
7/1/1926,-1.05,-1.22
8/1/1926,-0.42,-0.37
9/1/1926,-0.42,-0.92
10/1/1926,-0.72,-1.13
11/1/1926,-1.53,-1.31
12/1/1926,-1.29,-0.79
1/1/1927,-0.05,-0.84
2/1/1927,-0.3,-1.67
3/1/1927,0.04,-1.31
4/1/1927,0.55,0.02
5/1/1927,-0.1,-0.46
6/1/1927,0.11,0.01
7/1/1927,-0.89,-0.77
8/1/1927,-1.2,-1.21
9/1/1927,-1.35,-1.23
10/1/1927,-0.74,-1.07
11/1/1927,0.4,-0.56
12/1/1927,1.13,-0.66
1/1/1928,1.46,-0.27
2/1/1928,0.54,0.41
3/1/1928,1.29,1.35
4/1/1928,1.08,1.71
5/1/1928,-0.01,0.18
6/1/1928,0.08,0.46
7/1/1928,-0.34,-0.08
8/1/1928,-0.45,-0.47
9/1/1928,-0.03,-0.05
10/1/1928,0.32,0.04
11/1/1928,0.54,0.02
12/1/1928,0.11,-0.08
1/1/1929,-0.46,0.16
2/1/1929,1.07,0.65
3/1/1929,0.88,0.25
4/1/1929,1.04,0.22
5/1/1929,-0.72,0.32
6/1/1929,-0.17,0.03
7/1/1929,-0.84,-0.55
8/1/1929,-1.48,-1.57
9/1/1929,-1.19,-1.21
10/1/1929,-0.92,-1.19
11/1/1929,-0.21,-1.24
12/1/1929,-0.14,-1.2
1/1/1930,-0.04,-1.04
2/1/1930,0.37,-0.23
3/1/1930,-0.87,-0.45
4/1/1930,0.02,-0.34
5/1/1930,-0.61,-0.34
6/1/1930,0.09,-0.16
7/1/1930,-1.65,-1.64
8/1/1930,-2.01,-2.07
9/1/1930,-0.44,-0.43
10/1/1930,0.41,-0.41
11/1/1930,1.02,-0.41
12/1/1930,-0.08,-0.51
1/1/1931,-0.54,0.25
2/1/1931,-1.58,0.91
3/1/1931,-0.24,-0.28
4/1/1931,-0.08,-0.79
5/1/1931,-0.29,-0.98
6/1/1931,-0.9,-1.07
7/1/1931,1.1,0.97
8/1/1931,0.71,0.61
9/1/1931,1.21,0.87
10/1/1931,1.21,1.44
11/1/1931,1.54,1.56
12/1/1931,1.91,1.82
1/1/1932,0.9,1.33
2/1/1932,0.74,1.58
3/1/1932,0.59,1.99
4/1/1932,0.8,0.99
5/1/1932,0.65,0.78
6/1/1932,-0.27,-0.18
7/1/1932,0.39,0.49
8/1/1932,0.69,0.74
9/1/1932,0.6,0.43
10/1/1932,0.4,0.45
11/1/1932,0.06,0.43
12/1/1932,0.29,0.55
1/1/1933,0.14,0.34
2/1/1933,0.28,0.02
3/1/1933,0.78,0.38
4/1/1933,0.97,0.47
5/1/1933,1.9,1.52
6/1/1933,2.01,2.1
7/1/1933,1.87,1.92
8/1/1933,1.27,1.55
9/1/1933,1.12,1.75
10/1/1933,0.8,1.51
11/1/1933,0.75,1.31
12/1/1933,0.5,1.09
1/1/1934,0.96,0.95
2/1/1934,1.44,0.95
3/1/1934,-0.53,0.3
4/1/1934,-0.4,0.57
5/1/1934,-1.08,0.63
6/1/1934,-0.79,-1.02
7/1/1934,-0.08,-0.21
8/1/1934,0.82,0.65
9/1/1934,0.66,0.34
10/1/1934,0.23,0.09
11/1/1934,-0.03,0.46
12/1/1934,0.37,0.63
1/1/1935,1.46,0.6
2/1/1935,0.17,-0.09
3/1/1935,0.13,0.27
4/1/1935,-0.34,1.21
5/1/1935,-0.99,-0.74
6/1/1935,0.77,0.69
7/1/1935,0.81,0.66
8/1/1935,1.01,0.85
9/1/1935,0.79,0.95
