Date,SPI3,SPI6
1/1/1901,-99,-99
2/1/1901,-99,-99
3/1/1901,1.43,-99
4/1/1901,1.14,-99
5/1/1901,1.31,-99
6/1/1901,1.49,1.81
7/1/1901,1.08,1.26
8/1/1901,0.73,1.02
9/1/1901,-0.65,0.15
10/1/1901,-1.17,-0.22
11/1/1901,-1.56,-0.49
12/1/1901,-0.91,-1.04
1/1/1902,-1.59,-1.44
2/1/1902,-1.35,-1.73
3/1/1902,-0.89,-1.21
4/1/1902,0.41,-0.53
5/1/1902,-0.31,-0.72
6/1/1902,-1.6,-1.93
7/1/1902,-2.45,-2.22
8/1/1902,-2.29,-2.28
9/1/1902,-0.11,-0.73
10/1/1902,0.49,-0.74
11/1/1902,0.96,-0.59
12/1/1902,0.41,0
1/1/1903,0.78,0.58
2/1/1903,0.99,1.02
3/1/1903,-0.62,0.22
4/1/1903,-1.92,-0.02
5/1/1903,0.67,0.89
6/1/1903,0.23,0.02
7/1/1903,1.01,0.75
8/1/1903,1,1.06
9/1/1903,1.7,1.56
10/1/1903,1.79,1.99
11/1/1903,1.48,1.81
12/1/1903,1.37,2.05
1/1/1904,0.24,1.74
2/1/1904,0.46,1.49
3/1/1904,0.62,1.39
4/1/1904,0.05,-0.05
5/1/1904,-0.38,-0.31
6/1/1904,-1.22,-1.07
7/1/1904,-1.72,-1.71
8/1/1904,-2.21,-2.24
9/1/1904,0.15,-0.36
10/1/1904,0.7,-0.26
11/1/1904,1.19,-0.3
12/1/1904,-0.25,-0.09
1/1/1905,-1.88,0.49
2/1/1905,0.16,1.16
3/1/1905,-0.14,-0.39
4/1/1905,0.89,-0.07
5/1/1905,0.27,0.15
6/1/1905,0,-0.14
7/1/1905,-1.8,-1.43
8/1/1905,-1.47,-1.34
9/1/1905,-1.28,-1.15
10/1/1905,-0.4,-1.36
11/1/1905,-0.42,-1.47
12/1/1905,-0.65,-1.52
1/1/1906,0.28,-0.44
2/1/1906,1.04,-0.32
3/1/1906,0.82,-0.44
4/1/1906,-2.03,-0.7
5/1/1906,-2.17,-0.83
6/1/1906,1.16,1.28
7/1/1906,1.48,1.23
8/1/1906,1.77,1.41
9/1/1906,0.08,0.55
10/1/1906,-0.68,0.39
11/1/1906,-1.5,0.47
12/1/1906,-0.2,-0.13
1/1/1907,0.43,-0.67
2/1/1907,0.75,-1.42
3/1/1907,-0.81,-0.44
4/1/1907,1.4,1.02
5/1/1907,0.63,0.73
6/1/1907,0.11,-0.12
7/1/1907,-0.04,0.33
8/1/1907,0.31,0.4
9/1/1907,-0.65,-0.57
10/1/1907,-1.62,-1.33
11/1/1907,-2.6,-1.32
12/1/1907,-2.27,-1.28
1/1/1908,-0.72,-1.86
2/1/1908,-0.14,-2.7
3/1/1908,0.56,-1.55
4/1/1908,0.05,-0.7
5/1/1908,-0.54,-0.75
6/1/1908,-1.22,-1.11
7/1/1908,-1.02,-1.04
8/1/1908,-0.96,-1.11
9/1/1908,1.19,0.64
10/1/1908,0.93,0.24
11/1/1908,1.08,0.22
12/1/1908,-2.94,0.46
1/1/1909,-1.06,0.74
2/1/1909,-0.37,1.02
3/1/1909,1.02,-1.3
4/1/1909,0.88,-0.03
5/1/1909,0.76,0.51
6/1/1909,1.14,1.33
7/1/1909,1.24,1.35
8/1/1909,1.12,1.2
9/1/1909,0.93,1.25
10/1/1909,0.08,0.75
11/1/1909,-0.16,0.65
12/1/1909,-2.07,0.25
1/1/1910,-0.78,-0.12
2/1/1910,-0.25,-0.25
3/1/1910,-0.52,-2.2
4/1/1910,-1.21,-1.73
5/1/1910,-1.07,-1.29
6/1/1910,0.33,0.13
7/1/1910,-0.14,-0.38
8/1/1910,0.13,-0.14
9/1/1910,1.36,1.3
10/1/1910,1.42,1.09
11/1/1910,1.43,1.2
12/1/1910,-0.18,1.03
1/1/1911,0.25,1.37
2/1/1911,-1.29,1.36
3/1/1911,-1.36,-0.46
4/1/1911,-2.31,-0.77
5/1/1911,-1.6,-2.12
6/1/1911,-0.92,-1.26
7/1/1911,0.54,0.27
8/1/1911,0.73,0.4
9/1/1911,0.32,-0.11
10/1/1911,-0.92,-0.43
11/1/1911,-1.37,-0.4
12/1/1911,-1.53,-0.27
1/1/1912,-0.13,-1.05
2/1/1912,0.89,-1.27
3/1/1912,0.53,-1.22
4/1/1912,0.87,0.27
5/1/1912,-0.17,0.13
6/1/1912,-1.22,-1.13
7/1/1912,-0.24,-0.05
8/1/1912,0.04,-0.06
9/1/1912,-0.72,-1.18
10/1/1912,-1.33,-1.26
11/1/1912,-1.72,-1.18
12/1/1912,-0.14,-0.8
1/1/1913,0.19,-1.38
2/1/1913,-0.52,-1.87
3/1/1913,-0.88,-0.39
4/1/1913,-0.83,-0.55
5/1/1913,0.39,0.1
6/1/1913,0.87,0.67
7/1/1913,0.8,0.6
8/1/1913,-0.48,-0.4
9/1/1913,-2.09,-1.27
10/1/1913,-2.69,-1.29
11/1/1913,-1.8,-1.68
12/1/1913,-0.67,-2.24
1/1/1914,-0.52,-2.91
2/1/1914,0.18,-1.86
3/1/1914,-0.9,-0.95
4/1/1914,-1.37,-1.57
5/1/1914,-1.41,-1.31
6/1/1914,0.57,0.35
7/1/1914,0.72,0.48
8/1/1914,1.1,0.79
9/1/1914,1.07,1.13
10/1/1914,0.49,0.74
11/1/1914,0.17,0.85
12/1/1914,-0.75,0.59
1/1/1915,0.87,0.61
2/1/1915,1.17,0.28
3/1/1915,1.41,-0.21
4/1/1915,1.26,1.25
5/1/1915,0.66,0.97
6/1/1915,0.43,0.82
7/1/1915,0.03,0.33
8/1/1915,-0.5,-0.32
9/1/1915,0.02,0.15
10/1/1915,0.3,0.19
11/1/1915,0.77,0.2
12/1/1915,0.33,0.07
1/1/1916,-0.65,0.11
2/1/1916,-0.34,0.69
3/1/1916,0.14,0.25
4/1/1916,-0.28,-0.95
5/1/1916,0.99,0.75
6/1/1916,1.41,1.36
7/1/1916,1.76,1.63
8/1/1916,1.18,1.32
9/1/1916,1.96,2.27
10/1/1916,1.61,2.26
11/1/1916,2.08,2.45
12/1/1916,1.35,2.26
1/1/1917,1.54,1.92
2/1/1917,1.03,2.16
3/1/1917,1.17,1.49
4/1/1917,0.99,1.74
5/1/1917,0.41,0.68
6/1/1917,0.3,0.58
7/1/1917,-0.3,-0.07
8/1/1917,0.41,0.43
9/1/1917,1.14,1.08
10/1/1917,1.98,1.55
11/1/1917,1.96,1.86
12/1/1917,1.83,1.92
1/1/1918,1.46,2.25
2/1/1918,-0.68,1.92
3/1/1918,-1.05,1.72
4/1/1918,-1.68,0.92
5/1/1918,1.85,1.61
6/1/1918,0.48,0.24
7/1/1918,-0.54,-0.82
8/1/1918,-2.12,-1.06
9/1/1918,-1.5,-1.07
10/1/1918,-1.17,-1.34
11/1/1918,-0.87,-2.29
12/1/1918,-1.12,-1.88
1/1/1919,0.37,-1.17
2/1/1919,0.62,-0.85
3/1/1919,-0.47,-1.33
4/1/1919,-1.27,-0.46
5/1/1919,-0.33,-0.17
6/1/1919,1.04,0.89
7/1/1919,0.44,0.2
8/1/1919,-0.11,-0.24
9/1/1919,-0.42,0.09
10/1/1919,-0.4,-0.13
11/1/1919,0.13,-0.08
12/1/1919,-0.3,-0.61
1/1/1920,0.98,-0.2
2/1/1920,1.01,0.2
3/1/1920,0.58,-0.24
4/1/1920,-0.73,0.43
5/1/1920,-0.76,-0.21
6/1/1920,-0.98,-0.88
7/1/1920,-1.38,-1.57
8/1/1920,-1.71,-1.88
9/1/1920,-1.02,-1.37
10/1/1920,-0.8,-1.51
11/1/1920,-0.41,-1.63
12/1/1920,-1.28,-1.48
1/1/1921,-1.6,-1.06
2/1/1921,-1.06,-0.55
3/1/1921,-1.2,-1.65
4/1/1921,-0.87,-1.81
5/1/1921,-1.78,-2.28
6/1/1921,-0.94,-1.27
7/1/1921,-0.01,-0.22
8/1/1921,-0.31,-0.65
9/1/1921,-0.82,-1.17
10/1/1921,-1.45,-1.19
11/1/1921,-0.74,-0.87
12/1/1921,0.03,-0.8
1/1/1922,0.98,-1.16
2/1/1922,0.52,-0.74
3/1/1922,0.23,-0.03
4/1/1922,-1.2,0.33
5/1/1922,-0.37,-0.26
6/1/1922,0.49,0.44
7/1/1922,0.02,-0.21
8/1/1922,-0.92,-1.03
9/1/1922,-1.83,-1.32
10/1/1922,-1.33,-1.08
11/1/1922,-0.17,-0.89
12/1/1922,0.53,-1.3
1/1/1923,0.91,-1.09
2/1/1923,-0.39,-0.27
3/1/1923,0.78,0.6
4/1/1923,1,1.13
5/1/1923,0.22,-0.06
6/1/1923,-2.24,-1.87
7/1/1923,-0.34,-0.1
8/1/1923,-0.74,-0.69
9/1/1923,0.4,-0.38
10/1/1923,-0.68,-0.83
11/1/1923,-0.27,-0.84
12/1/1923,-2.27,-0.27
1/1/1924,-1.14,-0.92
2/1/1924,-0.63,-0.38
3/1/1924,-0.57,-2.37
4/1/1924,0.26,-0.63
5/1/1924,-0.52,-0.87
6/1/1924,-1.72,-2
7/1/1924,-2.35,-2.21
8/1/1924,-1.46,-1.58
9/1/1924,-0.44,-1.08
10/1/1924,-0.02,-1.22
11/1/1924,0.01,-1.09
12/1/1924,0.03,-0.48
1/1/1925,0.68,0.05
2/1/1925,0.93,0.08
3/1/1925,-1.1,-0.22
4/1/1925,-1.87,-0.15
5/1/1925,0.29,0.53
6/1/1925,-0.36,-0.64
7/1/1925,-0.97,-1.27
8/1/1925,-0.49,-0.44
9/1/1925,-0.59,-0.73
10/1/1925,0.13,-0.48
11/1/1925,-0.23,-0.64
12/1/1925,0.34,-0.45
1/1/1926,1.13,0.36
2/1/1926,1.56,0
3/1/1926,1.38,0.61
4/1/1926,-0.42,0.71
5/1/1926,0.15,0.83
6/1/1926,-1.4,-0.79
7/1/1926,-1.92,-2.03
8/1/1926,-0.48,-0.47
9/1/1926,1.09,0.49
10/1/1926,1.08,0.05
11/1/1926,0.41,-0.1
12/1/1926,-2.03,0.4
1/1/1927,-0.51,0.93
2/1/1927,-0.53,0.32
3/1/1927,-0.49,-2.15
4/1/1927,0.57,-0.16
5/1/1927,-0.11,-0.42
6/1/1927,0.25,0.06
7/1/1927,-0.28,-0.19
8/1/1927,-0.77,-0.82
9/1/1927,-0.69,-0.54
10/1/1927,-0.62,-0.74
11/1/1927,0.47,-0.23
12/1/1927,0.57,-0.39
1/1/1928,1.34,-0.22
2/1/1928,1.28,0.6
3/1/1928,1.27,0.78
4/1/1928,1.08,1.58
5/1/1928,-0.82,-0.02
6/1/1928,0.69,0.99
7/1/1928,0.79,0.98
8/1/1928,0.55,0.31
9/1/1928,0.82,0.96
10/1/1928,0.66,0.93
11/1/1928,0.85,0.96
12/1/1928,0.12,0.66
1/1/1929,-0.71,0.48
2/1/1929,1.67,1.04
3/1/1929,1.3,0.39
4/1/1929,1.6,0.71
5/1/1929,0.05,0.85
6/1/1929,0.72,1.04
7/1/1929,-0.31,0.18
8/1/1929,-1,-0.98
9/1/1929,-1.4,-0.85
10/1/1929,-1.21,-1.21
11/1/1929,-0.59,-1.28
12/1/1929,-0.94,-1.73
1/1/1930,-0.37,-1.39
2/1/1930,0.25,-0.63
3/1/1930,0.13,-0.97
4/1/1930,-0.28,-0.78
5/1/1930,-0.37,-0.41
6/1/1930,-0.58,-0.66
7/1/1930,-1.29,-1.39
8/1/1930,-1.43,-1.5
9/1/1930,-0.16,-0.43
10/1/1930,0.6,-0.19
11/1/1930,1.01,-0.11
12/1/1930,0.46,-0.01
1/1/1931,0.34,0.56
2/1/1931,-0.81,0.93
3/1/1931,0.53,0.47
4/1/1931,0.89,0.58
5/1/1931,0.46,0.14
6/1/1931,-0.26,-0.21
7/1/1931,0.05,0.22
8/1/1931,-0.4,-0.3
9/1/1931,-0.02,-0.18
10/1/1931,0.26,0.17
11/1/1931,1.3,0.75
12/1/1931,1.72,0.97
1/1/1932,1.87,0.85
2/1/1932,0.48,1.3
3/1/1932,0.86,1.8
4/1/1932,0.62,1.94
5/1/1932,0.88,0.85
6/1/1932,-0.87,-0.64
7/1/1932,0.3,0.37
8/1/1932,-0.26,-0.03
9/1/1932,0.13,-0.27
10/1/1932,-0.35,-0.18
11/1/1932,0.16,-0.16
12/1/1932,0.45,0.22
1/1/1933,0.67,-0.27
2/1/1933,-0.23,0.08
3/1/1933,1.02,0.59
4/1/1933,1.67,1.39
5/1/1933,2.08,1.9
6/1/1933,1.54,1.72
7/1/1933,0.58,1
8/1/1933,0.07,0.77
9/1/1933,0.37,0.98
10/1/1933,0.39,0.58
11/1/1933,0.61,0.44
12/1/1933,0.35,0.38
1/1/1934,1.24,0.65
2/1/1934,1.33,0.74
3/1/1934,0.29,0.3
4/1/1934,0.83,1.35
5/1/1934,0.1,0.63
6/1/1934,-0.81,-0.83
7/1/1934,0.13,0.27
8/1/1934,1.43,1.33
9/1/1934,1.46,1.01
10/1/1934,0.6,0.5
11/1/1934,-0.34,0.78
12/1/1934,-0.14,1.13
1/1/1935,0.86,0.71
2/1/1935,-0.23,-0.44
3/1/1935,-0.57,-0.35
4/1/1935,0,0.55
5/1/1935,-0.75,-0.98
6/1/1935,0.99,0.82
7/1/1935,0.2,0.12
8/1/1935,0.59,0.36
9/1/1935,0.41,0.74
10/1/1935,1.1,0.98
11/1/1935,0.87,1.01
