Date,SPI6
1/1/1901,-99
2/1/1901,-99
3/1/1901,-99
4/1/1901,-99
5/1/1901,-99
6/1/1901,2.05
7/1/1901,1.78
8/1/1901,2.04
9/1/1901,0.67
10/1/1901,1
11/1/1901,0.78
12/1/1901,0.35
1/1/1902,0.16
2/1/1902,-0.47
3/1/1902,0.73
4/1/1902,-1.11
5/1/1902,-1.11
6/1/1902,-2.25
7/1/1902,-2.04
8/1/1902,-1.92
9/1/1902,-0.95
10/1/1902,-0.56
11/1/1902,0.06
12/1/1902,0.8
1/1/1903,1.09
2/1/1903,1.33
3/1/1903,1.85
4/1/1903,1.76
5/1/1903,1.75
6/1/1903,-0.47
7/1/1903,0.49
8/1/1903,1.15
9/1/1903,0.9
10/1/1903,0.83
11/1/1903,0.44
12/1/1903,0.76
1/1/1904,0.42
2/1/1904,-0.17
3/1/1904,-0.53
4/1/1904,-1.28
5/1/1904,-1.33
6/1/1904,-2.05
7/1/1904,-1.58
8/1/1904,-2.24
9/1/1904,0.72
10/1/1904,0.75
11/1/1904,0.72
12/1/1904,1.04
1/1/1905,1.23
2/1/1905,1.69
3/1/1905,-0.4
4/1/1905,-1.54
5/1/1905,-1.64
6/1/1905,-1.2
7/1/1905,-1.22
8/1/1905,-1.26
9/1/1905,-0.78
10/1/1905,-0.95
11/1/1905,-1.09
12/1/1905,-0.93
1/1/1906,-0.66
2/1/1906,-0.41
3/1/1906,-1.28
4/1/1906,-0.68
5/1/1906,-0.79
6/1/1906,0.44
7/1/1906,0.89
8/1/1906,0.66
9/1/1906,0.02
10/1/1906,-0.19
11/1/1906,-0.27
12/1/1906,-0.46
1/1/1907,-1.1
2/1/1907,-1.01
3/1/1907,-0.89
4/1/1907,0.76
5/1/1907,1.11
6/1/1907,0.36
7/1/1907,0.77
8/1/1907,0.48
9/1/1907,-0.79
10/1/1907,-1.4
11/1/1907,-1.57
12/1/1907,-1.55
1/1/1908,-2.39
2/1/1908,-3.28
3/1/1908,-2.08
4/1/1908,-0.95
5/1/1908,-1.01
6/1/1908,-0.65
7/1/1908,-0.82
8/1/1908,-0.49
9/1/1908,-0.36
10/1/1908,-0.63
11/1/1908,-0.75
12/1/1908,-0.75
1/1/1909,-0.56
2/1/1909,-0.66
3/1/1909,-2.2
4/1/1909,-0.66
5/1/1909,0.51
6/1/1909,1.64
7/1/1909,1.31
8/1/1909,0.92
9/1/1909,0.79
10/1/1909,0.45
11/1/1909,0.18
12/1/1909,-0.15
1/1/1910,-0.24
2/1/1910,-0.13
3/1/1910,-0.78
4/1/1910,-0.1
5/1/1910,0.38
6/1/1910,0.4
7/1/1910,0.2
8/1/1910,0.31
9/1/1910,1.1
10/1/1910,1.15
11/1/1910,1.33
12/1/1910,1.07
1/1/1911,1.24
2/1/1911,1.19
3/1/1911,0.58
4/1/1911,0.21
5/1/1911,-1.43
6/1/1911,-1.23
7/1/1911,-0.98
8/1/1911,-1.05
9/1/1911,-1.85
10/1/1911,-1.99
11/1/1911,-1.44
12/1/1911,-1.27
1/1/1912,-1.44
2/1/1912,-1.14
3/1/1912,0.12
4/1/1912,1.01
5/1/1912,-0.73
6/1/1912,-1.29
7/1/1912,-0.66
8/1/1912,-1
9/1/1912,-2.24
10/1/1912,-2.13
11/1/1912,-2.06
12/1/1912,-1.77
1/1/1913,-2.3
2/1/1913,-2.23
3/1/1913,-0.44
4/1/1913,-0.13
5/1/1913,-0.19
6/1/1913,0.55
7/1/1913,0.91
8/1/1913,0.14
9/1/1913,-0.53
10/1/1913,-0.77
11/1/1913,-1.12
12/1/1913,-1.29
1/1/1914,-2
2/1/1914,-1.44
3/1/1914,-1.22
4/1/1914,-0.26
5/1/1914,0.23
6/1/1914,1.33
7/1/1914,1.17
8/1/1914,0.63
9/1/1914,1.23
10/1/1914,0.88
11/1/1914,0.92
12/1/1914,0.5
1/1/1915,0.53
2/1/1915,0.76
3/1/1915,0.11
4/1/1915,1.13
5/1/1915,1.37
6/1/1915,2.09
7/1/1915,1.25
8/1/1915,0.43
9/1/1915,0.6
10/1/1915,0.9
11/1/1915,0.93
12/1/1915,0.51
1/1/1916,0.76
2/1/1916,1.19
3/1/1916,1.34
4/1/1916,0.54
5/1/1916,1.31
6/1/1916,0.61
7/1/1916,1.57
