Date,SPI3,SPI6
1/1/1901,-99,-99
2/1/1901,-99,-99
3/1/1901,1.38,-99
4/1/1901,1.25,-99
5/1/1901,1.39,-99
6/1/1901,1.76,2.01
7/1/1901,1.26,1.45
8/1/1901,0.87,1.19
9/1/1901,-0.7,0.27
10/1/1901,-1.21,-0.11
11/1/1901,-1.68,-0.45
12/1/1901,-0.9,-1.14
1/1/1902,-1.78,-1.6
2/1/1902,-1.3,-1.9
3/1/1902,-1.07,-1.13
4/1/1902,0.26,-0.85
5/1/1902,-0.56,-0.96
6/1/1902,-0.99,-1.25
7/1/1902,-2.13,-2
8/1/1902,-1.98,-2.08
9/1/1902,0.02,-0.43
10/1/1902,0.69,-0.41
11/1/1902,1.18,-0.16
12/1/1902,0.54,0.2
1/1/1903,1.05,0.92
2/1/1903,1.25,1.3
3/1/1903,0.36,0.51
4/1/1903,-1.67,0.54
5/1/1903,0.92,1.24
6/1/1903,0.53,0.52
7/1/1903,1.36,1.13
8/1/1903,1.28,1.41
9/1/1903,1.91,1.91
10/1/1903,1.76,2.11
11/1/1903,1.33,1.85
12/1/1903,0.9,2.01
1/1/1904,-0.04,1.69
2/1/1904,0.51,1.35
3/1/1904,0.13,0.86
4/1/1904,-0.7,-0.63
5/1/1904,-1.12,-0.85
6/1/1904,-0.95,-1.02
7/1/1904,-1.25,-1.41
8/1/1904,-1.67,-1.94
9/1/1904,0.06,-0.38
10/1/1904,0.55,-0.2
11/1/1904,0.96,-0.25
12/1/1904,-0.18,-0.16
1/1/1905,-2.07,0.28
2/1/1905,-0.28,0.9
3/1/1905,-0.39,-0.32
4/1/1905,0.45,-0.7
5/1/1905,-0.3,-0.54
6/1/1905,-0.31,-0.47
7/1/1905,-1.49,-1.36
8/1/1905,-1.16,-1.24
9/1/1905,-1.63,-1.61
10/1/1905,-0.68,-1.43
11/1/1905,-0.79,-1.53
12/1/1905,-0.2,-1.6
1/1/1906,0.22,-0.76
2/1/1906,1.18,-0.65
3/1/1906,1.31,0.03
4/1/1906,-2.86,-0.65
5/1/1906,-1.68,-0.55
6/1/1906,0.65,0.9
7/1/1906,0.88,0.62
8/1/1906,1.33,0.98
9/1/1906,-0.09,0.16
10/1/1906,-0.59,0.03
11/1/1906,-1.42,0.08
12/1/1906,-0.19,-0.29
1/1/1907,0.42,-0.59
2/1/1907,0.94,-1.32
3/1/1907,-0.08,-0.3
4/1/1907,2.17,1.41
5/1/1907,1.06,1.21
6/1/1907,0.41,0.33
7/1/1907,0.75,1.29
8/1/1907,0.99,1.19
9/1/1907,0.11,0.21
10/1/1907,-1.7,-0.77
11/1/1907,-2.75,-0.75
12/1/1907,-2.62,-0.71
1/1/1908,-1.01,-2.09
2/1/1908,-0.45,-2.96
3/1/1908,0.09,-2.34
4/1/1908,-0.51,-1.32
5/1/1908,-0.96,-1.24
6/1/1908,-1.45,-1.54
7/1/1908,-0.93,-1.06
8/1/1908,-0.73,-0.99
9/1/1908,0.88,0.28
10/1/1908,0.43,-0.18
11/1/1908,0.43,-0.22
12/1/1908,-3.2,0.04
1/1/1909,-1.19,0.17
2/1/1909,-0.34,0.35
3/1/1909,0.63,-2.15
4/1/1909,0.04,-0.95
5/1/1909,0.81,0.56
6/1/1909,1.26,1.32
7/1/1909,0.99,0.92
8/1/1909,1.14,1.24
9/1/1909,0.75,1.16
10/1/1909,0.21,0.67
11/1/1909,-0.56,0.38
12/1/1909,-1.76,0.02
1/1/1910,-0.55,-0.01
2/1/1910,0.22,-0.62
3/1/1910,-0.8,-1.99
4/1/1910,-1.84,-1.6
5/1/1910,-2.03,-1.7
6/1/1910,-0.21,-0.4
7/1/1910,0.07,-0.18
8/1/1910,0.41,0.01
9/1/1910,1.4,1.17
10/1/1910,1.11,0.9
11/1/1910,1.11,1.08
12/1/1910,-0.37,0.99
1/1/1911,0.29,1.08
2/1/1911,-0.85,1.04
3/1/1911,-1.09,-0.57
4/1/1911,-2.1,-0.52
5/1/1911,-1.77,-2.17
6/1/1911,-1.1,-1.36
7/1/1911,0.51,0.25
8/1/1911,0.63,0.26
9/1/1911,0.07,-0.41
10/1/1911,-1.44,-0.78
11/1/1911,-1.7,-0.67
12/1/1911,-0.97,-0.45
1/1/1912,0.45,-1.41
2/1/1912,1.14,-1.52
3/1/1912,0.43,-0.93
4/1/1912,0.53,0.43
5/1/1912,-0.37,0.15
6/1/1912,-1.29,-1.28
7/1/1912,-0.42,-0.34
8/1/1912,-0.25,-0.4
9/1/1912,-1.2,-1.69
10/1/1912,-1.62,-1.54
11/1/1912,-1.64,-1.4
12/1/1912,0.11,-1.06
1/1/1913,0.35,-1.63
2/1/1913,-1.28,-1.85
3/1/1913,-1.56,-0.07
4/1/1913,-1.19,-0.32
5/1/1913,0.4,0.06
6/1/1913,0.78,0.62
7/1/1913,0.77,0.56
8/1/1913,-0.34,-0.26
9/1/1913,-2.05,-1.3
10/1/1913,-2.96,-1.39
11/1/1913,-2.36,-1.85
12/1/1913,-1,-2.4
1/1/1914,-0.81,-3.38
2/1/1914,-0.11,-2.51
3/1/1914,-1.65,-1.26
4/1/1914,-1.19,-1.63
5/1/1914,-1.25,-1.37
6/1/1914,0.33,0.14
7/1/1914,0.57,0.36
8/1/1914,0.79,0.48
9/1/1914,0.45,0.48
10/1/1914,-0.31,0.03
11/1/1914,-0.39,0.22
12/1/1914,-0.59,0.03
1/1/1915,0.99,-0.07
2/1/1915,1.32,-0.22
3/1/1915,1.47,-0.24
4/1/1915,1.39,1.38
5/1/1915,0.72,1.11
6/1/1915,0.69,1
7/1/1915,0.28,0.58
8/1/1915,-0.34,-0.15
9/1/1915,0,0.25
10/1/1915,0.16,0.22
11/1/1915,0.66,0.22
12/1/1915,0.28,0.03
1/1/1916,-0.08,0.02
2/1/1916,0.02,0.61
3/1/1916,-0.1,0.19
4/1/1916,-0.47,-0.57
5/1/1916,1.07,0.89
6/1/1916,1.09,1.03
7/1/1916,2.26,2.1
8/1/1916,1.49,1.65
9/1/1916,2.12,2.32
10/1/1916,1.52,2.42
11/1/1916,2.05,2.59
12/1/1916,1.48,2.52
1/1/1917,1.4,1.88
2/1/1917,0.84,2.13
3/1/1917,1.33,1.62
4/1/1917,0.96,1.6
5/1/1917,-0.2,0.07
6/1/1917,-0.08,0.21
7/1/1917,-1.06,-0.78
8/1/1917,0.18,0.06
9/1/1917,0.7,0.55
10/1/1917,1.99,1.24
11/1/1917,1.76,1.53
12/1/1917,1.7,1.55
1/1/1918,0.95,2.17
2/1/1918,-0.51,1.73
3/1/1918,-0.64,1.65
4/1/1918,-0.32,0.64
5/1/1918,2.38,2.16
6/1/1918,0.9,0.77
7/1/1918,-0.42,-0.53
8/1/1918,-2.66,-0.99
9/1/1918,-2.14,-1.3
10/1/1918,-1.91,-1.73
11/1/1918,-1.27,-2.93
12/1/1918,-1.05,-2.5
1/1/1919,0.5,-1.83
2/1/1919,0.4,-1.31
3/1/1919,-0.51,-1.23
4/1/1919,-1.21,-0.13
5/1/1919,-0.81,-0.7
6/1/1919,1.11,1.01
7/1/1919,0.36,0.14
8/1/1919,-0.12,-0.37
9/1/1919,-0.16,0.33
10/1/1919,-0.06,0.09
11/1/1919,0.59,0.3
12/1/1919,-0.15,-0.32
1/1/1920,1.02,0.18
2/1/1920,0.83,0.64
3/1/1920,0.75,-0.08
4/1/1920,-1.12,0.56
5/1/1920,-0.52,-0.18
6/1/1920,-1.31,-1.17
7/1/1920,-2.11,-2.32
8/1/1920,-2.45,-2.51
9/1/1920,-1.5,-1.97
10/1/1920,-1.06,-2.06
11/1/1920,-0.73,-2.32
12/1/1920,-1.39,-2.05
1/1/1921,-1.65,-1.44
2/1/1921,-0.95,-0.89
3/1/1921,-1.18,-1.66
4/1/1921,-0.67,-1.67
5/1/1921,-1.76,-2.19
6/1/1921,-1.65,-1.95
7/1/1921,0.05,-0.12
8/1/1921,-0.38,-0.76
9/1/1921,-0.53,-1.17
10/1/1921,-1.74,-1.3
11/1/1921,-0.44,-0.7
12/1/1921,0.24,-0.43
1/1/1922,1.28,-1.16
2/1/1922,0.25,-0.49
3/1/1922,0.2,0.18
4/1/1922,-0.24,1.06
5/1/1922,0.29,0.2
6/1/1922,0.86,0.84
7/1/1922,0.24,0.13
8/1/1922,-0.79,-0.71
9/1/1922,-2.23,-1.38
10/1/1922,-2.16,-1.41
11/1/1922,-0.55,-1.08
12/1/1922,0.43,-1.6
1/1/1923,1.22,-1.55
2/1/1923,0.21,-0.61
3/1/1923,1.21,0.58
4/1/1923,1.09,1.46
5/1/1923,-0.09,-0.17
6/1/1923,-2.15,-1.68
7/1/1923,-0.32,-0.07
8/1/1923,-0.68,-0.74
9/1/1923,0.56,-0.21
10/1/1923,-0.59,-0.72
11/1/1923,-0.21,-0.74
12/1/1923,-2.4,-0.24
1/1/1924,-0.85,-0.89
2/1/1924,-0.11,-0.3
3/1/1924,-0.01,-2.27
4/1/1924,0.66,-0.33
5/1/1924,-0.33,-0.52
6/1/1924,-1.39,-1.51
7/1/1924,-2.12,-1.83
8/1/1924,-1.16,-1.26
9/1/1924,-0.16,-0.73
10/1/1924,0.21,-0.88
11/1/1924,0.03,-0.85
12/1/1924,-0.16,-0.34
1/1/1925,0.08,0.11
2/1/1925,0.82,0.07
3/1/1925,-0.8,-0.33
4/1/1925,-1.36,-0.69
5/1/1925,0.94,1.05
6/1/1925,-0.08,-0.27
7/1/1925,-0.76,-0.99
8/1/1925,-0.86,-0.52
9/1/1925,-0.63,-0.66
10/1/1925,0.13,-0.36
11/1/1925,0.04,-0.65
12/1/1925,0.42,-0.4
1/1/1926,1.08,0.39
2/1/1926,1.57,0.25
3/1/1926,1.74,0.7
4/1/1926,-1.01,0.65
5/1/1926,-0.67,0.32
6/1/1926,-0.9,-0.33
7/1/1926,-1.33,-1.53
8/1/1926,-0.24,-0.45
9/1/1926,0.7,0.26
10/1/1926,0.59,-0.21
11/1/1926,-0.03,-0.29
12/1/1926,-2.28,-0.09
1/1/1927,-0.65,0.37
2/1/1927,-0.42,-0.14
3/1/1927,-0.42,-2.37
4/1/1927,0.33,-0.51
5/1/1927,-0.7,-0.98
6/1/1927,0.16,0.02
7/1/1927,-0.18,-0.16
8/1/1927,-0.48,-0.7
9/1/1927,-0.29,-0.25
10/1/1927,-0.38,-0.47
11/1/1927,0.68,0.15
12/1/1927,0.54,-0.05
1/1/1928,1.37,0.08
2/1/1928,1.1,0.77
3/1/1928,1.43,0.73
4/1/1928,0.97,1.57
5/1/1928,-1.31,-0.46
6/1/1928,0.62,0.92
7/1/1928,0.48,0.63
8/1/1928,0.46,0.13
9/1/1928,0.87,0.98
10/1/1928,0.91,0.93
11/1/1928,0.94,0.97
12/1/1928,-0.05,0.62
1/1/1929,-0.77,0.7
2/1/1929,1.26,1.07
3/1/1929,1.17,0.11
4/1/1929,1.6,0.45
5/1/1929,0.42,0.83
6/1/1929,1.16,1.36
7/1/1929,-0.14,0.28
8/1/1929,-0.8,-0.67
9/1/1929,-1.4,-0.6
10/1/1929,-0.94,-0.88
11/1/1929,-0.46,-1.03
12/1/1929,-0.6,-1.64
1/1/1930,-0.66,-1.24
2/1/1930,0.1,-0.54
3/1/1930,0.16,-0.66
4/1/1930,-0.46,-1.07
5/1/1930,-0.58,-0.67
6/1/1930,-1,-1.07
7/1/1930,-1.98,-2.07
8/1/1930,-1.99,-2.1
9/1/1930,-0.62,-1.04
10/1/1930,0.57,-0.48
11/1/1930,1.01,-0.34
12/1/1930,0.75,-0.17
1/1/1931,0.38,0.55
2/1/1931,-1.03,0.93
3/1/1931,0.04,0.69
4/1/1931,1.07,0.67
5/1/1931,0.26,-0.09
6/1/1931,-0.08,-0.16
7/1/1931,-0.39,-0.14
8/1/1931,-0.7,-0.64
9/1/1931,-0.19,-0.27
10/1/1931,0.23,-0.08
11/1/1931,1.18,0.49
12/1/1931,1.39,0.64
1/1/1932,1.58,0.76
2/1/1932,0.57,1.2
3/1/1932,0.31,1.38
4/1/1932,0.19,1.54
5/1/1932,0.46,0.5
6/1/1932,-0.86,-0.89
7/1/1932,-0.04,-0.06
8/1/1932,-0.26,-0.17
9/1/1932,0.02,-0.38
10/1/1932,0.11,0
11/1/1932,0.7,0.3
12/1/1932,1.18,0.64
1/1/1933,1.22,0.45
2/1/1933,-0.31,0.63
3/1/1933,0.83,1.23
4/1/1933,1.57,1.69
5/1/1933,1.83,1.61
6/1/1933,1.04,1.15
7/1/1933,0.33,0.69
8/1/1933,-0.03,0.59
9/1/1933,0.39,0.76
10/1/1933,0.27,0.34
11/1/1933,0.5,0.28
12/1/1933,0.44,0.46
1/1/1934,1.33,0.66
2/1/1934,1.45,0.67
3/1/1934,0.21,0.4
4/1/1934,0.93,1.51
5/1/1934,0.01,0.65
6/1/1934,-1.03,-1.09
7/1/1934,0.08,0.25
8/1/1934,0.99,0.89
9/1/1934,1.24,0.75
10/1/1934,0.32,0.23
11/1/1934,0,0.62
12/1/1934,0,0.98
1/1/1935,0.99,0.53
2/1/1935,-0.41,-0.11
3/1/1935,-0.58,-0.15
4/1/1935,-0.03,0.78
5/1/1935,-0.91,-1.18
6/1/1935,0.66,0.53
7/1/1935,0.14,0.07
8/1/1935,0.89,0.62
9/1/1935,0.55,0.72
10/1/1935,1.26,1.06
