Date,SPI3,SPI6
1/1/1901,-99,-99
2/1/1901,-99,-99
3/1/1901,1.95,-99
4/1/1901,1.72,-99
5/1/1901,1.93,-99
6/1/1901,1.37,1.92
7/1/1901,0.9,1.29
8/1/1901,0.93,1.31
9/1/1901,-0.33,0.26
10/1/1901,-0.29,0.19
11/1/1901,-0.95,-0.01
12/1/1901,0.1,-0.34
1/1/1902,-1.44,-0.55
2/1/1902,-1.16,-1.15
3/1/1902,-1.18,-0.23
4/1/1902,-0.07,-1.01
5/1/1902,-0.59,-1.27
6/1/1902,-1.78,-2.16
7/1/1902,-2.05,-1.98
8/1/1902,-2.11,-2.14
9/1/1902,-0.39,-0.98
10/1/1902,0.07,-0.86
11/1/1902,0.95,-0.46
12/1/1902,1.28,0.24
1/1/1903,1.72,0.62
2/1/1903,1.43,1.15
3/1/1903,-0.89,1.15
4/1/1903,-1.45,1.37
5/1/1903,0.88,1.54
6/1/1903,0.35,0.09
7/1/1903,1.1,0.81
8/1/1903,1.19,1.26
9/1/1903,1.3,1.26
10/1/1903,1.22,1.46
11/1/1903,0.66,1.22
12/1/1903,0.85,1.38
1/1/1904,-0.18,1.12
2/1/1904,0.28,0.64
3/1/1904,0.34,0.84
4/1/1904,-0.07,-0.47
5/1/1904,-0.25,-0.28
6/1/1904,-1.12,-1.08
7/1/1904,-1.51,-1.48
8/1/1904,-2.18,-2.12
9/1/1904,0.16,-0.27
10/1/1904,0.68,-0.08
11/1/1904,1.26,-0.16
12/1/1904,0.02,0.05
1/1/1905,-1.5,0.48
2/1/1905,-0.47,1.19
3/1/1905,-0.79,-0.28
4/1/1905,0.11,-0.85
5/1/1905,-0.28,-0.75
6/1/1905,-0.7,-0.98
7/1/1905,-1.89,-1.77
8/1/1905,-1.44,-1.45
9/1/1905,-0.78,-1.01
10/1/1905,-0.38,-1.21
11/1/1905,-0.34,-1.32
12/1/1905,-1.34,-1.17
1/1/1906,0.11,-0.47
2/1/1906,0.59,-0.32
3/1/1906,0.5,-1.15
4/1/1906,-2.04,-0.88
5/1/1906,-3.51,-1.16
6/1/1906,0.84,0.87
7/1/1906,1.37,1.06
8/1/1906,1.22,0.91
9/1/1906,-0.24,0.09
10/1/1906,-1.09,-0.07
11/1/1906,-1.59,-0.07
12/1/1906,-0.66,-0.52
1/1/1907,0.07,-1.21
2/1/1907,0.7,-1.49
3/1/1907,-0.14,-0.87
4/1/1907,1.51,0.82
5/1/1907,0.87,0.95
6/1/1907,0.02,-0.12
7/1/1907,-0.3,0.17
8/1/1907,-0.16,0.01
9/1/1907,-1.15,-1.05
10/1/1907,-1.93,-1.64
11/1/1907,-2.83,-1.71
12/1/1907,-2.12,-1.62
1/1/1908,-0.81,-2.24
2/1/1908,-0.57,-3.05
3/1/1908,0.24,-1.77
4/1/1908,0.02,-0.77
5/1/1908,-0.48,-0.99
6/1/1908,-0.78,-0.79
7/1/1908,-0.87,-0.88
8/1/1908,-0.5,-0.6
9/1/1908,0.63,0.28
10/1/1908,0.48,-0.03
11/1/1908,0.44,-0.08
12/1/1908,-3.2,0.03
1/1/1909,-0.86,0.28
2/1/1909,-0.31,0.34
3/1/1909,0.65,-1.66
4/1/1909,0.5,-0.37
5/1/1909,0.64,0.22
6/1/1909,1,1.07
7/1/1909,1.01,1
8/1/1909,0.69,0.74
9/1/1909,0.46,0.75
10/1/1909,-0.06,0.42
11/1/1909,-0.14,0.3
12/1/1909,-1.04,0.03
1/1/1910,-0.04,-0.18
2/1/1910,0.42,-0.16
3/1/1910,-1.04,-1.51
4/1/1910,-1.46,-0.97
5/1/1910,-1.62,-1.01
6/1/1910,0.84,0.59
7/1/1910,0.21,-0.05
8/1/1910,0.44,0.18
9/1/1910,1.51,1.62
10/1/1910,1.71,1.5
11/1/1910,1.84,1.74
12/1/1910,0.55,1.44
1/1/1911,0.87,1.84
2/1/1911,-0.53,1.79
3/1/1911,-0.86,0.32
4/1/1911,-2.06,0.17
5/1/1911,-1.89,-2.22
6/1/1911,-1.05,-1.36
7/1/1911,0.01,-0.28
8/1/1911,0.13,-0.13
9/1/1911,-0.37,-0.76
10/1/1911,-1.21,-0.97
11/1/1911,-1.3,-0.83
12/1/1911,-0.81,-0.68
1/1/1912,0.44,-1.2
2/1/1912,0.62,-1.24
3/1/1912,0.53,-0.73
4/1/1912,0.74,0.54
5/1/1912,-0.19,0.05
6/1/1912,-1.39,-1.23
7/1/1912,-0.61,-0.41
8/1/1912,-0.41,-0.46
9/1/1912,-1.01,-1.46
10/1/1912,-1.52,-1.54
11/1/1912,-1.89,-1.56
12/1/1912,-0.53,-1.18
1/1/1913,-0.01,-1.66
2/1/1913,0.05,-1.97
3/1/1913,-0.17,-0.75
4/1/1913,-0.34,-0.48
5/1/1913,0.42,0.16
6/1/1913,0.72,0.59
7/1/1913,1.25,1.06
8/1/1913,0.21,0.24
9/1/1913,-1.08,-0.66
10/1/1913,-2.18,-0.76
11/1/1913,-1.98,-1.08
12/1/1913,-0.56,-1.24
1/1/1914,0.14,-2.25
2/1/1914,1.05,-1.67
3/1/1914,0.54,-0.51
4/1/1914,0.17,-0.05
5/1/1914,-0.59,0.23
6/1/1914,1.04,1.08
7/1/1914,0.89,0.82
8/1/1914,0.88,0.7
9/1/1914,0.88,1.13
10/1/1914,0.56,0.83
11/1/1914,0.51,0.88
12/1/1914,-0.08,0.66
1/1/1915,1.16,0.81
2/1/1915,1.54,0.75
3/1/1915,1.8,0.51
4/1/1915,1.51,1.62
5/1/1915,1.22,1.89
6/1/1915,0.79,1.34
7/1/1915,-0.05,0.38
8/1/1915,-0.5,-0.19
9/1/1915,0.48,0.68
10/1/1915,1.14,0.89
11/1/1915,1.58,0.97
12/1/1915,1.08,0.82
1/1/1916,0.44,1.15
2/1/1916,0.42,1.59
3/1/1916,-0.14,1.01
4/1/1916,-0.51,-0.08
5/1/1916,0.9,0.8
6/1/1916,0.77,0.65
7/1/1916,1.55,1.33
8/1/1916,0.8,0.9
9/1/1916,1.23,1.34
10/1/1916,0.96,1.47
11/1/1916,1.32,1.49
12/1/1916,1.06,1.43
1/1/1917,0.8,1.06
2/1/1917,0.67,1.36
3/1/1917,1.14,1.27
4/1/1917,1.2,1.13
5/1/1917,0.76,0.84
6/1/1917,0.84,1.09
7/1/1917,0.5,0.74
8/1/1917,0.84,0.9
9/1/1917,1.21,1.35
10/1/1917,1.45,1.4
11/1/1917,1.27,1.47
12/1/1917,0.89,1.32
1/1/1918,0.46,1.47
2/1/1918,-1.39,1.18
3/1/1918,-1.62,0.67
4/1/1918,-1.29,-0.28
5/1/1918,1.31,0.75
6/1/1918,0.25,-0.06
7/1/1918,-0.66,-0.89
8/1/1918,-1.85,-1.3
9/1/1918,-2.1,-1.7
10/1/1918,-1.95,-1.86
11/1/1918,-1.38,-2.4
12/1/1918,-0.58,-2.14
1/1/1919,0.91,-1.64
2/1/1919,1.19,-1.1
3/1/1919,0.27,-0.64
4/1/1919,-0.5,0.49
5/1/1919,-0.34,0.52
6/1/1919,0.68,0.64
7/1/1919,-0.16,-0.31
8/1/1919,-0.68,-0.74
9/1/1919,-0.28,-0.02
10/1/1919,-0.04,-0.16
11/1/1919,0.44,-0.18
12/1/1919,-0.43,-0.49
1/1/1920,0.54,-0.01
2/1/1920,0.58,0.46
3/1/1920,0.42,-0.44
4/1/1920,-0.92,-0.09
5/1/1920,-1.35,-0.69
6/1/1920,-0.96,-0.89
7/1/1920,-2,-2.15
8/1/1920,-2.11,-2.27
9/1/1920,-2.31,-2.47
10/1/1920,-1.92,-2.58
11/1/1920,-1.57,-2.72
12/1/1920,-2.3,-2.74
1/1/1921,-0.87,-2.23
2/1/1921,-0.54,-1.76
3/1/1921,-0.87,-2.68
4/1/1921,-0.88,-1.52
5/1/1921,-1.57,-1.97
6/1/1921,0.4,0.15
7/1/1921,0.01,-0.2
8/1/1921,-0.51,-0.74
9/1/1921,-1.32,-1.02
10/1/1921,-1.36,-1.07
11/1/1921,-0.87,-1.07
12/1/1921,-0.75,-1.53
1/1/1922,0.41,-1.36
2/1/1922,0.69,-0.81
3/1/1922,0.61,-0.64
4/1/1922,-0.56,-0.13
5/1/1922,-0.71,-0.23
6/1/1922,0.56,0.63
7/1/1922,-0.17,-0.33
8/1/1922,-1.12,-1.23
9/1/1922,-0.69,-0.41
10/1/1922,-0.32,-0.39
11/1/1922,0.74,-0.17
12/1/1922,0.45,-0.47
1/1/1923,0.81,-0.18
2/1/1923,-1.12,0.63
3/1/1923,1,0.61
4/1/1923,1.19,1.13
5/1/1923,0.79,0.22
6/1/1923,-2.63,-1.91
7/1/1923,0.09,0.38
8/1/1923,-0.43,-0.25
9/1/1923,1.26,0.52
10/1/1923,0.14,0.1
11/1/1923,0.55,0.07
12/1/1923,-3.17,0.63
1/1/1924,-1.1,-0.09
2/1/1924,-0.79,0.44
3/1/1924,-0.32,-2.61
4/1/1924,0.09,-0.8
5/1/1924,-0.44,-1.03
6/1/1924,-2.27,-2.42
7/1/1924,-1.86,-1.76
8/1/1924,-0.91,-0.98
9/1/1924,0.22,-0.47
10/1/1924,0.52,-0.35
11/1/1924,0.4,-0.36
12/1/1924,0.41,0.27
1/1/1925,0.32,0.49
2/1/1925,0.62,0.42
3/1/1925,-1.89,0.1
4/1/1925,-2.06,-0.6
5/1/1925,0.25,0.38
6/1/1925,0.12,-0.21
7/1/1925,-0.8,-1.09
8/1/1925,-0.66,-0.61
9/1/1925,-1.39,-1.2
10/1/1925,-0.77,-1.07
11/1/1925,-0.79,-1.14
12/1/1925,0.15,-1.21
1/1/1926,1.21,-0.41
2/1/1926,1.2,-0.58
3/1/1926,1.21,0.41
4/1/1926,-1.3,0.71
5/1/1926,-0.19,0.62
6/1/1926,-1.86,-1.19
7/1/1926,-1.68,-1.88
8/1/1926,-0.34,-0.4
9/1/1926,0.22,-0.39
10/1/1926,0.14,-0.65
11/1/1926,-0.65,-0.81
12/1/1926,-1.78,-0.29
1/1/1927,-0.37,-0.03
2/1/1927,-0.52,-0.81
3/1/1927,0.36,-1.51
4/1/1927,0.59,-0.11
5/1/1927,0.03,-0.46
6/1/1927,0.08,0.08
7/1/1927,-0.52,-0.38
8/1/1927,-0.84,-0.82
9/1/1927,-0.99,-0.89
10/1/1927,-0.71,-0.88
11/1/1927,0.34,-0.37
12/1/1927,0.82,-0.5
1/1/1928,1.37,-0.28
2/1/1928,0.78,0.39
3/1/1928,1.01,0.99
4/1/1928,0.74,1.46
5/1/1928,-1.06,-0.32
6/1/1928,-0.01,0.24
7/1/1928,-0.08,0.07
8/1/1928,-0.15,-0.34
9/1/1928,0.29,0.2
10/1/1928,0.46,0.29
11/1/1928,0.58,0.26
12/1/1928,0.01,0.17
1/1/1929,-0.91,0.26
2/1/1929,1.03,0.68
3/1/1929,0.9,0.17
4/1/1929,1.22,0.23
5/1/1929,-0.3,0.37
6/1/1929,0.14,0.33
7/1/1929,-0.8,-0.38
8/1/1929,-1.46,-1.47
9/1/1929,-1.47,-1.26
10/1/1929,-0.81,-1.1
11/1/1929,-0.15,-1.17
12/1/1929,0.1,-1.3
1/1/1930,-0.47,-1.03
2/1/1930,-0.03,-0.24
3/1/1930,-0.59,-0.16
4/1/1930,0.06,-0.57
5/1/1930,-0.32,-0.56
6/1/1930,-0.01,-0.24
7/1/1930,-1.57,-1.51
8/1/1930,-1.85,-1.84
9/1/1930,-0.4,-0.42
10/1/1930,0.28,-0.49
11/1/1930,0.81,-0.49
12/1/1930,-0.36,-0.58
1/1/1931,-0.34,0.12
2/1/1931,-1.72,0.69
3/1/1931,-0.16,-0.57
4/1/1931,-0.04,-0.56
5/1/1931,-0.27,-0.96
6/1/1931,-0.75,-0.89
7/1/1931,0.49,0.39
8/1/1931,0.15,0.06
9/1/1931,0.77,0.42
10/1/1931,1.05,1.04
11/1/1931,1.54,1.3
12/1/1931,1.97,1.58
1/1/1932,1.23,1.31
2/1/1932,1.06,1.65
3/1/1932,0.99,2.2
4/1/1932,0.91,1.38
5/1/1932,0.72,1.1
6/1/1932,-0.4,-0.12
7/1/1932,0.41,0.57
8/1/1932,0.09,0.2
9/1/1932,0.1,-0.1
10/1/1932,-0.35,-0.12
11/1/1932,-0.12,-0.12
12/1/1932,0.12,0.04
1/1/1933,0.44,-0.35
2/1/1933,0.16,-0.18
3/1/1933,0.76,0.21
4/1/1933,1.2,0.84
5/1/1933,2.19,1.93
6/1/1933,2.09,2.18
7/1/1933,1.6,1.74
8/1/1933,0.95,1.41
9/1/1933,0.79,1.52
10/1/1933,0.51,1.16
11/1/1933,0.46,0.9
12/1/1933,0.21,0.68
1/1/1934,0.97,0.68
2/1/1934,1.37,0.65
3/1/1934,-0.14,0.04
4/1/1934,0.02,0.72
5/1/1934,-0.47,0.65
6/1/1934,-0.7,-0.84
7/1/1934,-0.07,-0.12
8/1/1934,1.18,1.01
9/1/1934,1.27,0.91
10/1/1934,0.8,0.58
11/1/1934,0.49,1.09
12/1/1934,0.69,1.29
1/1/1935,1.65,1.25
2/1/1935,0.04,0.43
3/1/1935,-0.17,0.57
4/1/1935,-0.7,1.37
5/1/1935,-1.31,-1.27
6/1/1935,0.73,0.59
7/1/1935,0.53,0.33
8/1/1935,0.6,0.36
9/1/1935,0.58,0.74
10/1/1935,0.73,0.79
